what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1331532098809
processors,sysinfo,,,"2",1331532098810
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1331532098810
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-9M3425",1331532098810
java.specification.name,sysinfo,,,"Java Platform API Specification",1331532098810
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331532098810
java.specification.version,sysinfo,,,"1.6",1331532098810
java.vendor,sysinfo,,,"Apple Inc.",1331532098810
java.version,sysinfo,,,"1.6.0_26",1331532098810
java.vm.info,sysinfo,,,"mixed mode",1331532098810
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1331532098810
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1331532098810
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1331532098810
java.vm.specification.version,sysinfo,,,"1.0",1331532098810
java.vm.vendor,sysinfo,,,"Apple Inc.",1331532098810
java.vm.version,sysinfo,,,"20.1-b02-384",1331532098810
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1331532098864
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1331532099985
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1331532100555
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1331532101232
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1331532101672
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1331532101686
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1331532101693
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1331532101823
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1331532102041
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1331532102554
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1331532109147
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1331532109590
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1331532109926
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1331532110046
